Dataset,Normalization,Initialization,Best Initial SSE, Best Final SSE, Best # of Iterations
ecoli,Min-Max Normalization,Random Initialization,27.7971,18.0758,3
ecoli,Min-Max Normalization,Random Partitioning,51.6175,18.1004,3
ecoli,Min-Max Normalization,Max-I-Min Initialization,66.2318,24.7006,3
ecoli,Z-Score Normalization,Random Initialization,3.43495,1.59889,5
ecoli,Z-Score Normalization,Random Partitioning,5.50395,1.59365,5
ecoli,Z-Score Normalization,Max-I-Min Initialization,5.77714,1.66381,3
glass,Min-Max Normalization,Random Initialization,26.0898,19.3962,3
glass,Min-Max Normalization,Random Partitioning,42.3746,19.0279,3
glass,Min-Max Normalization,Max-I-Min Initialization,56.4359,24.4288,3
glass,Z-Score Normalization,Random Initialization,5.0752,3.62934,3
glass,Z-Score Normalization,Random Partitioning,7.24715,3.64175,4
glass,Z-Score Normalization,Max-I-Min Initialization,8.74423,4.33566,3
ionosphere,Min-Max Normalization,Random Initialization,751.746,629.05,3
ionosphere,Min-Max Normalization,Random Partitioning,776.696,629.051,4
ionosphere,Min-Max Normalization,Max-I-Min Initialization,875.57,629.051,3
ionosphere,Z-Score Normalization,Random Initialization,26.7503,25.8862,3
ionosphere,Z-Score Normalization,Random Partitioning,30.3745,25.8862,4
ionosphere,Z-Score Normalization,Max-I-Min Initialization,34.5059,25.8862,3
iris_bezdek,Min-Max Normalization,Random Initialization,8.98233,7.03314,3
iris_bezdek,Min-Max Normalization,Random Partitioning,26.2927,7.03314,3
iris_bezdek,Min-Max Normalization,Max-I-Min Initialization,14.9542,7.03314,4
iris_bezdek,Z-Score Normalization,Random Initialization,1.13489,0.929479,4
iris_bezdek,Z-Score Normalization,Random Partitioning,2.86511,0.929486,4
iris_bezdek,Z-Score Normalization,Max-I-Min Initialization,2.8548,0.929486,4
landsat,Min-Max Normalization,Random Initialization,4851.05,2982.71,6
landsat,Min-Max Normalization,Random Partitioning,8007.6,2982.71,6
landsat,Min-Max Normalization,Max-I-Min Initialization,5574.17,2982.71,8
landsat,Z-Score Normalization,Random Initialization,17.7288,12.8055,5
landsat,Z-Score Normalization,Random Partitioning,34.3937,12.8055,5
landsat,Z-Score Normalization,Max-I-Min Initialization,27.7187,12.8055,6
letter_recognition,Min-Max Normalization,Random Initialization,4167.98,2720.98,36
letter_recognition,Min-Max Normalization,Random Partitioning,7155.12,2730.24,36
letter_recognition,Min-Max Normalization,Max-I-Min Initialization,8376.06,4389.21,22
letter_recognition,Z-Score Normalization,Random Initialization,9.18972,6.06091,17
letter_recognition,Z-Score Normalization,Random Partitioning,15.076,6.0629,18
letter_recognition,Z-Score Normalization,Max-I-Min Initialization,19.4224,6.931,13
segmentation,Min-Max Normalization,Random Initialization,572.511,387.028,7
segmentation,Min-Max Normalization,Random Partitioning,1584.22,387.028,8
segmentation,Min-Max Normalization,Max-I-Min Initialization,1084.08,516.82,5
segmentation,Z-Score Normalization,Random Initialization,9.40231,5.60231,7
segmentation,Z-Score Normalization,Random Partitioning,15.7834,5.60142,6
segmentation,Z-Score Normalization,Max-I-Min Initialization,17.7933,10.4475,3
vehicle,Min-Max Normalization,Random Initialization,284.46,223.549,7
vehicle,Min-Max Normalization,Random Partitioning,501.714,223.545,7
vehicle,Min-Max Normalization,Max-I-Min Initialization,534.765,223.701,6
vehicle,Z-Score Normalization,Random Initialization,10.3396,7.0993,4
vehicle,Z-Score Normalization,Random Partitioning,15.6522,7.09623,4
vehicle,Z-Score Normalization,Max-I-Min Initialization,16.9714,7.10619,5
wine,Min-Max Normalization,Random Initialization,76.5612,49.0841,3
wine,Min-Max Normalization,Random Partitioning,78.1159,49.0842,4
wine,Min-Max Normalization,Max-I-Min Initialization,94.9935,49.0842,3
wine,Z-Score Normalization,Random Initialization,10.4507,6.95865,3
wine,Z-Score Normalization,Random Partitioning,10.492,6.95864,4
wine,Z-Score Normalization,Max-I-Min Initialization,12.8703,6.95865,3
yeast,Min-Max Normalization,Random Initialization,93.7849,58.7054,5
yeast,Min-Max Normalization,Random Partitioning,143.917,58.6933,9
yeast,Min-Max Normalization,Max-I-Min Initialization,151.646,113.214,3
yeast,Z-Score Normalization,Random Initialization,4.25076,2.73594,5
yeast,Z-Score Normalization,Random Partitioning,7.17127,2.73683,7
yeast,Z-Score Normalization,Max-I-Min Initialization,6.62697,3.37107,3
